Path to image,Name of the statue,Details of the statue
Slightly broken\scul1.jpg,"A black schist sculpture with vishnu, Bhihar,Pala, 11th-12th century","The standing deity in a dynamic position with the pelvis moved to the left, four arms only partially preserved, wearing pectorals and bracelets, the hips covered by the antariya cloth fastened by a belt, on the head an imposing tiara adorned with palmettes, behind the head a circular halo. 94 cm high Provenance: Italian private collection. Together with Shiva and Bhrama, Vishnu is one of the main deities of the large Hindu pantheon, guardian of life, creator, protector and transformer of the entire universe"
Slightly broken\scul2.jpg,"Lord Shiva Dancing, Halebid, Karnataka","The sculpture of dancing Shiva in Halebid, Karnataka is located in the Hoysaleshwara temple. The sculpture is from the 12th century and is an example of ancient Indian art. The sculpture depicts Shiva dancing on the body of the demon Apasmara, which represents death."
Slightly broken\scul3.jpg,Shiva as Lord of Music (Shiva Vinadhara),"Shiva as Lord of Music (Shiva Vinadhara), Tamil Nadu, late 9th–mid-10th century. 48 1/16 × 31 1/2 × 14 in. (122 × 80 × 35.6 cm). Museum of Fine Arts, Boston, Maria Antoinette Evans Fund, 33.18. Photograph © Museum of Fine Arts, Boston"
Slightly broken\scul4.jpg,Saraswati,"This 10th-century sandstone sculpture, depicting Sarasvati, the Hindu goddess associated with speech, music, and learning, once adorned a niche in a temple, showcasing her playing the vina and holding a manuscript, while also symbolizing the sacred essence of the river Sarasvati."
Slightly broken\scul5.jpg,"Bracket figures from Jamsot, Prayagraj, UP","The bracket figures from Jamsot, Prayagraj, UP are intricately crafted sculptures that typically adorn the brackets or supports of architectural structures such as buildings, temples, or monuments. These figures often depict mythological or religious motifs, showcasing scenes from Hindu epics like the Ramayana or Mahabharata, as well as celestial beings, deities, animals, and floral patterns. With their detailed craftsmanship and symbolic significance, these bracket figures serve both decorative and spiritual purposes, adding beauty and cultural richness to the architectural landscape of Prayagraj, Uttar Pradesh."
Slightly broken\scul6.jpg,Kubera,"This magnesian schist sculpture of Kubera, the Hindu god of riches, originates from Varuna, Karnataka, circa 1050, and is part of the Nasli and Alice Heeramaneck Collection at the Museum Associates."
Slightly broken\scul7.jpg,Maitreya (Sanskrit) or Metteyya (Pali),"Maitreya (Sanskrit) or Metteyya (Pali), is a bodhisattva who is regarded as the future Buddha of this world in all schools of Buddhism, prophesied to become Maitreya Buddha or Metteyya Buddha"
Slightly broken\scul8.jpg,Vishnu,"This 12th-century Khmer bronze figure of Vishnu, measuring 14 1/8 inches (36 cm) in height, originates from the collection of Peng Seng in Bangkok, acquired on October 8th, 1965."
Slightly broken\scul9.jpg,"Standing Bodhisattva with Human-Figure Necklace, Kushan period, 2nd / 3rd century","Standing Bodhisattva with Human-Figure Necklace, Kushan period, 2nd/3rd century. Ancient region of Gandhara (modern Pakistan"
Slightly broken\scul10.jpg,Surya,"Surya (the supreme light) was the chief solar deity in Hinduism; he also represents the Sun in India and Nepal. He is one of the core elements of Hindu astrology; Surya was the chief of Navagraha and the Classical Planets. He had 3 wives; Saranyu, Yama, and Yami. From northeast India, 11th century CE. (National Museum of Scotland,"
Slightly broken\scul11.jpg,Dities at Holeshwar temple,"Dities at Holeshwar temple-The Holeshwar Temple in Karnataka features sculptures of Lord Shiva, Goddess Parvati, Lord Ganesha, Nandi Bull, and other Hindu deities, inviting devotees to worship and seek blessings."
Slightly broken\scul12.jpg,Dancing Diety,"The sandstone sculpture of the dancing deity Vishnu is a magnificent depiction of the Hindu god in a joyful and dynamic posture. Carved from sandstone, this sculpture captures Vishnu in a state of divine ecstasy, with graceful movements and flowing robes that suggest a sense of rhythm and motion."
Slightly broken\scul13.jpg,Shiva as lord of dance,"Shiva as lord of dance -The sculpture of Shiva as the Lord of Dance (Nataraja) typically portrays him with four arms, one leg lifted, and surrounded by a ring of flames, symbolizing the cosmic fire of destruction and creation. His uplifted foot represents liberation, while his lower foot treads upon the dwarf demon Apasmara, representing ignorance. In his upper right hand, he holds the damaru (drum), signifying the sound of creation, and in his upper left hand, the flames of destruction. The lower right hand is held in the abhaya mudra (gesture of reassurance), and the lower left hand points to his uplifted foot, indicating salvation. This iconic sculpture captures the essence of Shiva's cosmic dance, illustrating the perpetual cycle of birth, death, and rebirth in Hindu mythology."
Slightly broken\scul14.jpg,Vishnu,"Late Medieval Indian Art-In late Indian medieval art, depictions of Vishnu often showcase the deity in a regal and majestic form, symbolizing his role as the preserver in the Hindu triumvirate. Vishnu is typically portrayed with four arms, holding various attributes such as the conch shell (shankha), discus (chakra), mace (gada), and lotus flower (padma)."
Slightly broken\scul15.jpg,Idol carved on Bhuleshwar temple's inner wall,"Bhuleshwar is a Hindu temple of Shiva, the temple is situated on a hill and was built in the 13th century, the temple is unique as its architecture is Islamic from outside and appears more as a mosque than a temple due to its resemblance of circular tomb and minarets, the reason for this unique design is said to be done to protect the temple from being destroyed by invaders, there are classical carvings on the walls, Yawat, Maharashtra, India"
Slightly broken\scul16.jpg,Lady dancer conversing with Parrot ,"Hosalaya archtiecture-The sculpture depicts a graceful lady dancer engaged in conversation with a parrot, showcasing the elegance and charm of Indian classical dance and the harmonious connection between humans and nature.
"
Slightly broken\scul17.jpg,Elephant at Yoga-Narasimha temple entrance,"The sculpture of an elephant at the entrance of the Yoga-Narasimha temple serves as a majestic guardian, symbolizing strength, wisdom, and auspiciousness"
Slightly broken\scul18.jpg,"Four-Armed Sarasvati, Goddess of Learning, Seated in Lotus Position","Four-Armed Sarasvati, Goddess of Learning, Seated in Lotus Position (Padmasana), Hoysala period, 12th century"
Slightly broken\scul19.jpg,Diety with flower,"The deity depicted in the sculpture is adorned with a delicate flower, symbolizing purity, beauty, and divine grace. The presence of the flower in the deity's hand or nearby suggests a connection to nature, fertility, and the cycle of life."
Slightly broken\scul20.jpg,Four-headed god Harihara,"Four-headed god Harihara, Kashmir, 9th century AD, soapstone - Ethnological Museum, Berlin"
Slightly broken\scul21.jpg,Animals,"Bhuleshwar Temple,India, pune, lord shiva, yewat, patas, bhuleshwar, sculpure in india"
Slightly broken\scul22.jpg,"A SANDSTONE FIGURE OF VISHNU, LATER MEDIEVAL PERIOD","India, circa 10th century. Powerfully carved with a muscular body in tribhanga with his right arm raised above his head, adorned in beaded jewelry around the waist and a necklace, the serene face with almond- shaped eyes and full lips forming a gentle smile, the curled hair with a tiered headdress centered by a flowerhead."
Slightly broken\scul23.jpg, mother and son,"18 th centuary- In the sculpture, the mother is depicted with her arms tenderly wrapped around her son, embracing him closely to her chest. "
Slightly broken\scul24.jpg,Woman sclupture,Bhuleshwar ancient hindu temple
Slightly broken\scul25.jpg,The Existential Buddha,"The statue of the existential Buddha portrays a serene figure deeply immersed in contemplation, embodying the essence of existential philosophy through its depiction of introspection and self-awareness."
Slightly broken\scul26.jpg,Goddess Gandhara,"Gandhara school of art represents a combination of Greco-Roman and Indian ideas that flourished during the reign of Kanishka in the 2'nd Century primary in present-day Afghanistan, Pakistan, and the north Indian Region"
Slightly broken\scul27.jpg,Shakti Shilpa,"The deity carved out of stone stands as a timeless embodiment of divinity and artistic mastery. Crafted with meticulous detail and devotion, this stone sculpture represents a divine being from Hindu mythology, such as a god or goddess, revered for their virtues, powers, and cosmic significance. "
Slightly broken\scul28.jpg,Goddess Gandhara,"The goddess Gandhara sculpture encapsulates divine grace and elegance, reflecting the rich artistic heritage of the Gandhara region with intricate detailing and a serene countenance."
Slightly broken\scul29.jpg,Elephants,Elephants carved on the walls  of Khajuraho in MP illustrating the ideas of spiritual art.
Slightly broken\scul30.jpg,Bodhsattava Mitreya,"Bodhisattva Maitreya, Kushana, 2nd century A.D., Gandhara, India (stone) Location : National Museum of India, New Delhi, India"
Slightly broken\scul31.jpg,Gandhara style statue,"The Gandhara style statue typically exhibits a fusion of Greco-Roman and Indian artistic elements, reflecting the cultural exchange between the Gandhara region (present-day Afghanistan and Pakistan) and the Hellenistic world. These statues often feature Buddha or Bodhisattva figures depicted in a realistic manner, with Greek-inspired drapery and facial features. The statues are known for their intricate detailing, harmonious proportions, and serene expressions, showcasing the influence of both Eastern and Western artistic traditions."
Slightly broken\scul32.jpg,Godess Hariti,"From Buddhist period:Goddess Hariti (100-300 AD, Peshawar valley) - Originally a rakshasi who used to abduct and kill children until Buddha hides her child under his bowl. On pleading, Buddha returns her child and Hariti vows to protect to all children."
Slightly broken\scul33.jpg,Seated Buddha,"The ""Seated Buddha"" sculpture, originating from Sarnath and dating back to the 5th century AD, portrays Buddha seated on a throne with lions on either side. His hands are positioned in the dharmachakramudra, the gesture of teaching. Standing at a height of 1.1 meters (46.4 inches), this remarkable artwork exemplifies the serenity and wisdom associated with the Buddha's teachings."
Slightly broken\scul34.jpg,Stone standing Buddha,"Stone standing Buddha image, from Sarnath (Uttar Pradesh), Gupta period (320-550 AD). About 450 AD. 1880.6.a.b"
Slightly broken\scul35.jpg,Godess Lakashmi,"The sculpture of the goddess Lakshmi, crafted from grey chlorite in Kashmir during the 6th century CE, showcases exquisite artistry and symbolic richness. Seated in the pralambapadasana pose atop a lion throne, Lakshmi wears a crown adorned with three crescent moons in the Sassanian style, albeit slightly damaged. Two male attendants lovingly lustrate her, bearing large globular pots. In her hands, she holds a lotus and an Indianized version of a classical cornucopia, symbolizing abundance with a pot at its top. Camaradharani flank her sides, while below, small male figures pour pots of gold at her feet. The plain moulded plinth reflects the typical Kashmiri sculpture style. This masterpiece stands 36.50 centimeters tall, symbolizing the divine grace and prosperity associated with the goddess Lakshmi."
Slightly broken\scul36.jpg,Stone bracket from Hoysala temple - Karanataka,Stone bracket from Hoysala temple - Karanataka - 1200 C.E.Among the distinctive features of Hosyala temples are the voluptorous female bracket figures that decorate the roof struts. These scluptures typically comprise of an ornate tree canopy above a main figure flanked by attendants.
Slightly broken\scul37.jpg,Stone bracket from Hoysala temple - Karanataka,Stone bracket from Hoysala temple - Karanataka - 1200 C.E. Most of the temples where this scluptures are found are dedicated to Hindu dieties such as Shiva nad Vishnu.
Slightly broken\scul38.jpg,God Vishnu,"Relief of Hindu god Vishnu at the British Museum, London, UK"
Slightly broken\scul39.jpg,"Yogini, circa 900 C.E. – Kanchipuram, Tamil Nadu","Yogini, circa 900 C.E. – Kanchipuram, Tamil Nadu The cult of independent and horiffic godesses has been powerful in India for many centuries, and here the Yogini is depicted with earings in the form of a snake and a severed hand"
Slightly broken\scul40.jpg,Plaosan Bodhisattava,"An exquisite bas-relief of Bodhisattva adorning the outer wall of Candi Plaosan Lor southern main temple. A fine example of the 9th century classical Javanese Buddhist Sailendran art, Plaosan, Klaten Regency, Central Java."
Slightly broken\scul41.jpg,"GRAY SCHIST  FIGURE OF MAITREYA WITH WORSHIPPER, ANCIENT REGION OF GANDHARA","Kushan period, 2nd-3rd century. Finely carved standing in a tribhanga, the figure dressed in a finely pleated robe draped elegantly over his shoulder and adorned with jewelry. His face bears a serene, introspective expression, marked by heavy-lidded eyes, gently arched brows, full lips, and a wavy mustache. His hair is gathered in a high chignon centered by a small stupa, backed by a halo, flanked by a small figure of a worshipper with both hands held together in adoration"
Slightly broken\scul42.jpg,Saraswati,"2th c. Jain marble sculpture of Saraswati from Gujarat, India."
Slightly broken\scul43.jpg,Vishnu with Divine Companions.,"This sculpture depicts Lord Vishnu, the preserver in Hindu mythology, carved from yellow stone. Lord Vishnu is portrayed in a standing posture, symbolizing his role as the sustainer of the universe. He is adorned with intricate details, including his traditional attributes such as the conch shell (shankha) and the discus (chakra) held in his upper hands. The attendants on both sides of Lord Vishnu add symmetry to the composition, emphasizing the divine presence and significance of the deity. "
Slightly broken\scul44.jpg,high chariot with immense wheels and horses,"Dedicated to the Hindu Sun-god Surya, what remains of the temple complex has the appearance of a 100-foot (30 m) high chariot with immense wheels and horses, all carved from stone. Once over 200 feet (61 m) high,[1][5] much of the temple is now in ruins, in particular the large shikara tower over the sanctuary; at one time this rose much higher than the mandapa that remains. The structures and elements that have survived are famed for their intricate artwork, iconography, and themes, including erotic kama and mithuna scenes. Also called the Surya Devalaya, it is a classic illustration of the Odisha style of Architecture or Kalinga architecture.[1][6]"
Slightly broken\scul45.jpg,"sculpture at Chennakesava Temple,Hassan district of Karnataka state","Chennakesava (lit, ""handsome Kesava"") is a form of the Hindu god Vishnu. Belur is well known for its marvelous temples built during the rule of the Hoysala dynasty, making it and nearby Halebidu favored tourist destinations in Karnataka state. These temple complexes have been proposed to be listed under UNESCO World Heritage Sites.
 
The temple was commissioned by King Vishnuvardhana in 1117 AD. Scholars are divided about the reasons for the construction of the temple. The military successes of Vishnuvardhana is considered a probable reason. Some scholars believe Vishnuvardhana commissioned the temple to surpass his overlord, King Vikramaditya VI of the Western Chalukya Empire (who ruled from Basavakalyan), after his initial military victories against the Chalukyas. According to another theory, Vishnuvardhana was celebrating his famous victory against the Chola dynasty of Tamil country in the battle of Talakad (1116 AD), which resulted in the annexation of Gangavadi (modern southern Karnataka) by the Hoysalas. Another theory points to Vishnuvardhana's conversion from Jainism to Vaishnavism (a sect of Hinduism) after coming under the influence of saint Ramanujacharya, considering this is a predominantly Vaishnava temple in sculptural iconography. "
Slightly broken\scul46.jpg,Avalokiteshvara is a Buddhist deity who embodies compassion and is also known as Guanyin in Chinese. ,"His name comes from the Sanskrit words avaloka, meaning ""looking on"", and ishvara, meaning ""lord"". Avalokiteshvara is a bodhisattva, which is an enlightened being who postpones becoming a buddha in order to help humanity. He is primarily associated with Mahayana, or ""Greater Vehicle"", Buddhism. 
Avalokiteshvara is often depicted with a small seated Buddha in his headdress, seated on a lion throne and dressed in jewels. Above his head is a parasol, which is an ancient symbol of royal status. Beside his head are lotus-borne stupas, topped with sun and crescent moons. At his left knee is his protective attendant, who holds a thunderbolt, or vajra. "
Slightly broken\scul47.jpg,Garuda is the mythical Lord of Birds in both Hindu and Buddhist traditions,"He is primarily known as the solar vehicle for the Hindu god Vishnu, preserver of the universe, whom Garuda transports with great speed to resolve calamities in the world. This superb sculpture with bulbous eyes, an eagle's beak and large claws is a rare depiction of Garuda as a powerful demon-king and guardian (rakshasa).
Richly adorned, he sits cross-legged on a lotus plinth. His wings and tail feathers fan out across his back. His missing arms may have once held a serpent (naga)-the staple of his diet. Is finely chiseled features and the curving lines of his robust body, reflecting Indian artistic conventions, convey a ferocious yet meditative and noble presence."
Slightly broken\scul48.jpg,"Sculptures from Horse Court in Ranganatha (Sri Ranganathaswamy) Temple, Srirangam, Tamil Nadu, India, ca. 16th-17th century A.D.","The Sri Ranganathaswamy Temple is a Hindu temple dedicated to Ranganatha, a form of the Supreme God, Maha Vishnu, located in Srirangam, Tiruchirapalli, Tamil Nadu, India.Constructed in the Dravidian architectural style, it is one of the most illustrious Vaishnava temples in South India rich in legend and history. The Temple was first built by Dharma Varma Chola. Later the Kaveri river flood destroyed the temple vimanam and afterwards the early Chola King Killivalavan rebuilt the temple complex present today. The most artistic halls that the Nayaks (Vijaynagar Period) added to the complex is the Sesharayar Mandapam on the east side of the fourth enclosure.The hall is celebrated for the leaping animals carved on to the piers at its northern end.The pillars consists of sculptures of wildly rearing horses bearing riders on their backs and trampling with their hoofs upon the heads of rampant tigers. The hall is celebrated for the leaping animals carved on to the piers at its northern end. The pillars consists of sculptures of wildly rearing horses bearing riders on their backs and trampling with their hoofs upon the heads of rampant tigers"
Slightly broken\scul49.jpg,Elephant Stables in Hampi,"India, is a historic landmark and tourist attraction that was once the home of the royal elephants of the Vijayanagara Empire. The Elephant Stables is made up of 11 grand domed chambers. Some say the Elephant Stables is one of the last few structures in Hampi that were destroyed. One of the last few structures which were destroyed in Hampi were the Elephant Stable, which is a major tourist attraction. This is a long structure with a row of domed chambers which were used to keep royal elephants. There are in all 11 doomed chambers of which some are inter connected. The center chamber is specially decorated and quite huge. Probably the musicians and associated band troupes had been using this during ceremonies involved in the processions of elephants.

The building as such looks symmetrical with respect to the central hall. The tower of the central hall looks like the temple shrines though most of it is destroyed. The five pair of domes which have remained intact are of the Islamic style they are better preserved. Metal hooks which are used to tie the elephants on the inside roof can be seen. At the rear of each hall are small manholes type openings for the mahouts to enter the elephant  compartments. Elephant Stables can be reached through the Zenana Enclosure, proceed to the Guard’s Quarters and move to the Ranga Temple located  a bit south of it all."
Slightly broken\scul50.jpg,"Parvati, Samlaji culture, 500 AD (schist)"" refers to a sculpture depicting Parvati","a central goddess in Hinduism, created around 500 AD from schist, a type of metamorphic rock. The piece is attributed to the Samlaji culture, which flourished in western India during the Gupta period (3rd to 6th centuries AD).
Unfortunately, there aren't any publicly available images of the specific sculpture you requested. However, other sculptures of Parvati from the Gupta period can give you an idea of what it might look like. These sculptures typically portray Parvati as a beautiful and graceful figure, often standing with her hand on her hip. She is often adorned with jewelry and elaborate clothing. The Gupta period is considered a golden age of Indian art, and sculptures from this time period are known for their elegance and sophistication. The Parvati sculpture from the Samlaji culture is likely a beautiful example of this artistic tradition."
Slightly broken\scul51.jpg,"Amrita ,  Amrit or Amata in Pali, (also called Sudha, Amiy, Ami) is a Sanskrit word that means ""immortality"". ","Amrita is repeatedly referred to as the drink of the devas, which grants them immortality. Despite this, the nectar does not actually offer true immortality. Instead, by partaking it, the devas were able to attain a higher level of knowledge and power, which they had lost due to the curse of the sage Durvasa, as described in the Samudra Manthana legend. It tells how the devas, after the curse, begin to lose their immortality. Assisted by their rivals, the asuras, the devas begin to churn the ocean, releasing, among other extraordinary objects and beings, a pitcher of amrita, held by the deity Dhanvantari.[8]"
Slightly broken\scul52.jpg,statues depicting yoginis holding jars,"These yogini statues were originally enshrined in circular open-air temples, with at least 15 others, each believed to possess magical powers. Unfortunately, many were removed from their original locations and are now scattered around the world.
•	Throughout the subcontinent and within its many indigenous faiths, the goddess, or devi, is worshiped as a manifestation of life-giving female energy. Here, a goddess known as a yogini gracefully demonstrates full control of breath and body. Her hands hold a jar, possibly containing medicine, and a wand, suggesting her curative capabilities. Her now-broken bottom left limb would have held a skull cup for drinking liquor or blood, signaling her ferocity. She is also believed to possess powers of flight, to which the faintly etched bird beneath her right foot might allude.
•	This sculpture was once enshrined in a circular open-air temple, with at least 15 other yoginis, each believed to possess magical powers. Together they would have formed a sacred space and potential site for tantric, or esoteric, Hindu (Brahmanical) rituals in which a devotee sought union with the divine.
These yogini statues were originally enshrined in circular open-air temples, with at least 15 others, each believed to possess magical powers. Unfortunately, many were removed from their original locations and are now scattered around the world.
•	Throughout the subcontinent and within its many indigenous faiths, the goddess, or devi, is worshiped as a manifestation of life-giving female energy. Here, a goddess known as a yogini gracefully demonstrates full control of breath and body. Her hands hold a jar, possibly containing medicine, and a wand, suggesting her curative capabilities. Her now-broken bottom left limb would have held a skull cup for drinking liquor or blood, signaling her ferocity. She is also believed to possess powers of flight, to which the faintly etched bird beneath her right foot might allude.
•	This sculpture was once enshrined in a circular open-air temple, with at least 15 other yoginis, each believed to possess magical powers. Together they would have formed a sacred space and potential site for tantric, or esoteric, Hindu (Brahmanical) rituals in which a devotee sought union with the divine.
These yogini statues were originally enshrined in circular open-air temples, with at least 15 others, each believed to possess magical powers. Unfortunately, many were removed from their original locations and are now scattered around the world.
•	Throughout the subcontinent and within its many indigenous faiths, the goddess, or devi, is worshiped as a manifestation of life-giving female energy. Here, a goddess known as a yogini gracefully demonstrates full control of breath and body. Her hands hold a jar, possibly containing medicine, and a wand, suggesting her curative capabilities. Her now-broken bottom left limb would have held a skull cup for drinking liquor or blood, signaling her ferocity. She is also believed to possess powers of flight, to which the faintly etched bird beneath her right foot might allude.
•	This sculpture was once enshrined in a circular open-air temple, with at least 15 other yoginis, each believed to possess magical powers. Together they would have formed a sacred space and potential site for tantric, or esoteric, Hindu (Brahmanical) rituals in which a devotee sought union with the divine."
Slightly broken\scul53.jpg,"Female Tree Deity with Attendant, c. 973. Memories of the nature divinities so important on the exterior of ancient Buddhist sites persist in female figures ","nature divinities so important on the exterior of ancient Buddhist sites persist in female figures such as this on Hindu temples of the medieval period. Her form personifies fecundity, and the mango tree with which she is integrated bursts into the fruits that dangle down the side of the sculpture. Her attendant gazes into a mirror. This sculpture exemplifies the stylistic characteristics of the 10th century, with the exaggerated thrust of her hip, and dense, crisply rendered areas of jewelry offset by smooth planes of flesh. 
That's a great start to a description of the ""Female Tree Deity with Attendant"" sculpture! Here's a possible continuation that incorporates the information you provided and avoids mentioning the caption:
•	Focus on the symbolism: ""The sculpture merges woman and nature, symbolizing fertility with her curvaceous form and the abundance of ripe mangoes. Her attendant, lost in reflection, adds an air of mystery.""
•	Highlight the artistic style: ""Typical of 10th-century art, the sculpture features an accentuated hip sway and intricate jewelry contrasting with smooth skin. The artist's use of clear lines and defined features brings the figures to life."""
